track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius
47,KCLE20060111_125254,0,-0.408,188.11,271.479226,37.326603,-82.03,41.916632,18663.301415
49,KCLE20060111_125843,6,0.191,372.00,292.650000,21.450000,-81.90,41.088899,10725.000000
49,KCLE20060111_130432,12,0.177,375.84,298.606140,35.623684,-81.87,41.071629,17811.842105
49,KCLE20060111_131022,18,-0.160,387.42,295.282394,51.023977,-81.89,41.019495,25511.988606
50,KCLE20060111_125843,6,-0.343,234.90,196.100000,23.300000,-82.48,41.704444,11650.000000
50,KCLE20060111_130432,12,-0.621,232.62,194.510480,35.434498,-82.49,41.714643,17717.248908
53,KCLE20060111_130432,12,-0.217,477.60,159.750000,32.450000,-82.69,40.610446,16225.000000
53,KCLE20060111_131022,18,-0.449,474.23,161.870032,43.324881,-82.68,40.625718,21662.440382
55,KCLE20060111_131022,18,0.158,568.70,278.700000,39.800000,-81.99,40.203178,19900.000000
55,KCLE20060111_131611,24,0.113,562.66,282.457895,47.771930,-81.96,40.230407,23885.964912
56,KCLE20060111_131022,18,0.084,141.20,298.100000,26.200000,-81.87,42.127931,13100.000000
58,KCLE20060111_132201,30,0.035,513.45,285.100000,46.500000,-81.95,40.451995,23250.000000
59,KCLE20060111_132201,30,-0.042,481.50,276.850000,24.550000,-82.00,40.595808,12275.000000
60,KCLE20060112_122738,-25,0.331,331.20,243.900000,15.300000,-82.19,41.272108,7650.000000
61,KCLE20060112_123328,-19,0.028,281.60,370.800000,20.100000,-81.44,41.495116,10050.000000
61,KCLE20060112_123917,-13,-0.394,283.56,366.596887,33.124314,-81.46,41.486375,16562.157153
63,KCLE20060113_122924,-23,0.196,327.45,238.850000,15.550000,-82.23,41.288899,7775.000000
63,KCLE20060113_123515,-17,-0.191,324.48,242.370033,29.191537,-82.20,41.302338,14595.768602
65,KCLE20060113_122924,-23,-0.093,556.40,160.550000,33.950000,-82.68,40.255685,16975.000000
66,KCLE20060113_123515,-17,0.263,284.20,364.600000,12.700000,-81.47,41.483541,6350.000000
66,KCLE20060113_124104,-11,0.324,284.58,369.670270,24.889189,-81.44,41.481732,12444.594595
66,KCLE20060113_124655,-6,-0.075,282.33,370.913798,37.097194,-81.44,41.491810,18548.597211
69,KCLE20060113_124104,-11,0.325,365.95,317.400000,32.800000,-81.76,41.116099,16400.000000
69,KCLE20060113_124655,-6,0.276,366.46,323.679367,38.526657,-81.72,41.113747,19263.328313
70,KCLE20060113_124104,-11,-0.162,284.00,371.600000,9.100000,-81.43,41.484293,4550.000000
70,KCLE20060113_124655,-6,-0.133,282.70,370.723448,21.338621,-81.44,41.490184,10669.310345
70,KCLE20060113_125243,0,-0.429,285.60,361.834171,29.496670,-81.49,41.477275,14748.335135
72,KCLE20060113_132152,29,-0.021,150.40,548.050000,27.550000,-80.36,42.076815,13775.000000
73,KCLE20060114_122708,-24,0.529,464.25,347.350000,34.350000,-81.58,40.673217,17175.000000
73,KCLE20060114_123256,-19,0.544,464.66,348.209343,40.816119,-81.57,40.671341,20408.059548
75,KCLE20060114_122708,-24,0.208,446.70,350.500000,17.200000,-81.56,40.752189,8600.000000
75,KCLE20060114_123256,-19,0.145,449.95,352.699324,25.316892,-81.55,40.737536,12658.445946
76,KCLE20060114_122708,-24,0.139,362.05,473.250000,53.350000,-80.83,41.129068,26675.000000
76,KCLE20060114_123256,-19,0.196,361.13,472.789124,59.694288,-80.83,41.133242,29847.143975
78,KCLE20060114_123845,-13,0.404,471.60,350.300000,34.700000,-81.56,40.640079,17350.000000
78,KCLE20060114_124435,-7,0.437,473.99,354.527723,39.533663,-81.54,40.629245,19766.831683
78,KCLE20060114_125025,-1,0.262,476.63,357.488945,49.098359,-81.52,40.617326,24549.179290
79,KCLE20060114_123845,-13,0.452,355.00,476.650000,53.450000,-80.81,41.160621,26725.000000
79,KCLE20060114_124435,-7,0.319,356.84,481.163158,62.465789,-80.78,41.152079,31232.894737
79,KCLE20060114_125025,-1,0.109,359.77,490.534115,60.994804,-80.73,41.138371,30497.402130
79,KCLE20060114_125613,5,0.000,362.46,498.939497,61.544115,-80.68,41.125758,30772.057579
79,KCLE20060114_130203,11,0.087,371.32,503.819570,58.522417,-80.65,41.085577,29261.208311
79,KCLE20060114_130754,16,0.321,367.39,509.482320,53.646788,-80.61,41.102885,26823.393869
79,KCLE20060114_131344,22,0.339,369.49,512.496655,54.542397,-80.60,41.093239,27271.198269
79,KCLE20060114_131934,28,0.304,376.56,518.605134,58.615714,-80.56,41.060995,29307.857164
79,KCLE20060114_132524,34,0.212,374.67,526.716850,56.165607,-80.51,41.068940,28082.803574
79,KCLE20060114_133113,40,0.111,378.83,519.148650,57.839115,-80.56,41.050750,28919.557536
79,KCLE20060114_133704,46,0.154,375.04,531.509268,56.594591,-80.48,41.066947,28297.295432
79,KCLE20060114_134253,51,0.275,378.40,533.522363,56.821232,-80.47,41.051693,28410.615952
79,KCLE20060114_134844,57,0.255,371.79,538.093511,60.304626,-80.44,41.081084,30152.313223
79,KCLE20060114_135433,63,0.291,385.63,534.895399,62.820011,-80.46,41.019050,31410.005447
79,KCLE20060114_140024,69,0.247,390.87,537.750328,60.999003,-80.45,40.995265,30499.501575
79,KCLE20060114_140613,75,0.196,399.66,538.591150,60.205910,-80.44,40.955607,30102.955004
79,KCLE20060114_141202,81,0.329,403.82,541.888757,57.123725,-80.42,40.936635,28561.862550
79,KCLE20060114_141752,86,0.246,396.06,544.228550,52.870127,-80.41,40.971409,26435.063589
79,KCLE20060114_142343,92,0.000,390.78,547.005983,48.500990,-80.39,40.994956,24250.495056
79,KCLE20060114_142931,98,0.255,373.41,547.207872,51.203805,-80.39,41.073145,25601.902739
81,KCLE20060114_125613,5,-0.015,77.75,455.100000,59.300000,-80.92,42.409719,29650.000000
81,KCLE20060114_130203,11,0.021,84.24,458.159929,67.011163,-80.90,42.380357,33505.581669
82,KCLE20060114_130754,16,0.256,259.30,268.500000,16.300000,-82.05,41.596133,8150.000000
84,KCLE20060115_123148,-20,0.434,293.65,365.050000,18.850000,-81.47,41.440990,9425.000000
86,KCLE20060117_125242,2,0.220,396.55,292.300000,25.400000,-81.91,40.978367,12700.000000
87,KCLE20060117_125831,8,0.125,373.60,290.800000,25.400000,-81.91,41.081691,12700.000000
87,KCLE20060117_130421,14,0.220,370.33,288.001964,32.616830,-81.93,41.096401,16308.415147
89,KCLE20060117_131010,20,0.222,365.30,291.500000,26.600000,-81.91,41.119061,13300.000000
90,KCLE20060117_131601,26,-0.061,357.30,433.500000,36.200000,-81.06,41.152336,18100.000000
91,KCLE20060118_123403,-15,0.578,106.95,462.900000,54.700000,-80.87,42.277901,27350.000000
92,KCLE20060118_123952,-10,0.220,124.65,498.350000,36.050000,-80.66,42.196209,18025.000000
93,KCLE20060119_122621,-23,0.493,290.45,363.750000,16.650000,-81.48,41.455422,8325.000000
93,KCLE20060119_123211,-17,0.314,287.03,363.272727,26.193301,-81.48,41.470811,13096.650718
94,KCLE20060119_125531,6,0.110,103.40,461.350000,58.450000,-80.88,42.293958,29225.000000
95,KCLE20060119_130121,12,0.326,553.65,358.450000,56.450000,-81.52,40.270498,28225.000000
95,KCLE20060119_130713,18,0.371,552.39,364.526462,63.173238,-81.48,40.276055,31586.619190
96,KCLE20060120_123000,-18,0.286,282.30,365.050000,19.050000,-81.47,41.492086,9525.000000
96,KCLE20060120_123550,-13,0.333,283.09,371.228571,27.371429,-81.43,41.488418,13685.714286
96,KCLE20060120_124139,-7,-0.095,277.43,365.051198,32.423185,-81.47,41.514006,16211.592606
97,KCLE20060121_122144,-27,0.518,538.80,240.450000,49.450000,-82.21,40.337345,24725.000000
98,KCLE20060121_122144,-27,0.033,216.45,295.100000,27.900000,-81.89,41.789185,13950.000000
99,KCLE20060121_122144,-27,-0.257,417.30,235.400000,23.800000,-82.24,40.884311,11900.000000
99,KCLE20060121_122734,-21,-0.454,413.40,238.196610,37.745763,-82.23,40.901916,18872.881356
101,KCLE20060121_122734,-21,0.121,202.70,309.500000,33.000000,-81.80,41.851073,16500.000000
102,KCLE20060121_122734,-21,-0.273,55.55,363.150000,25.350000,-81.48,42.512832,12675.000000
102,KCLE20060121_123323,-15,-0.515,52.65,359.412712,36.388983,-81.50,42.525940,18194.491525
105,KCLE20060121_125641,8,-0.014,262.65,449.300000,46.800000,-80.96,41.577730,23400.000000
106,KCLE20060121_130230,14,-0.173,114.95,123.800000,59.400000,-82.93,42.241180,29700.000000
106,KCLE20060121_130819,20,-0.282,113.61,128.264416,70.330839,-82.90,42.247462,35165.419708
108,KCLE20060122_122621,-21,0.724,283.15,363.850000,12.550000,-81.48,41.488283,6275.000000
108,KCLE20060122_123608,-11,0.715,281.79,363.895494,20.670172,-81.48,41.494427,10335.085837
109,KCLE20060122_122621,-21,-0.000,356.95,332.400000,12.300000,-81.67,41.156503,6150.000000
109,KCLE20060122_123608,-11,-0.399,353.60,327.547699,25.279262,-81.70,41.171635,12639.630754
111,KCLE20060122_123608,-11,-0.052,283.85,371.250000,8.950000,-81.43,41.484977,4475.000000
111,KCLE20060122_145259,125,-0.453,293.35,362.743493,13.354957,-81.48,41.442380,6677.478410
112,KCLE20060123_122900,-17,0.168,284.20,363.350000,12.750000,-81.48,41.483566,6375.000000
112,KCLE20060123_123449,-12,0.365,288.07,365.203690,24.396310,-81.47,41.466129,12198.155216
112,KCLE20060123_124038,-6,0.268,287.99,368.388115,25.409225,-81.45,41.466384,12704.612507
112,KCLE20060123_124630,0,-0.130,282.32,368.583073,27.133584,-81.45,41.491913,13566.791959
114,KCLE20060124_122644,-19,0.090,282.45,367.250000,20.350000,-81.46,41.491365,10175.000000
114,KCLE20060124_123234,-13,0.063,278.66,368.846649,27.538402,-81.45,41.508388,13769.201031
114,KCLE20060124_123826,-7,-0.201,281.84,370.317356,30.206073,-81.44,41.494024,15103.036323
115,KCLE20060124_123234,-13,-0.148,37.80,368.850000,29.950000,-81.44,42.592605,14975.000000
115,KCLE20060124_123826,-7,-0.240,36.32,373.803947,39.498684,-81.41,42.599155,19749.342105
116,KCLE20060124_124414,-1,-0.132,43.70,394.950000,33.250000,-81.28,42.565368,16625.000000
118,KCLE20060124_130735,22,0.109,85.95,421.600000,56.900000,-81.12,42.374284,28450.000000
118,KCLE20060124_131325,28,0.110,86.91,423.174365,66.497823,-81.11,42.369879,33248.911729
120,KCLE20060125_121852,-27,-0.103,292.25,358.100000,16.800000,-81.51,41.447425,8400.000000
120,KCLE20060125_122443,-21,-0.122,290.67,356.839030,26.889145,-81.52,41.454544,13444.572748
120,KCLE20060125_123032,-15,-0.379,294.27,354.370256,31.090614,-81.53,41.438384,15545.307089
121,KCLE20060125_123032,-15,-0.052,171.80,279.750000,34.650000,-81.98,41.990122,17325.000000
121,KCLE20060125_123622,-9,-0.163,174.19,282.504098,44.531774,-81.97,41.979382,22265.887175
123,KCLE20060125_125942,14,0.295,292.85,357.350000,13.150000,-81.52,41.444738,6575.000000
123,KCLE20060125_130531,20,0.249,293.28,358.311832,24.701145,-81.51,41.442796,12350.572519
124,KCLE20060125_125942,14,-0.004,159.90,270.350000,58.550000,-82.04,42.043616,29275.000000
124,KCLE20060125_130531,20,-0.171,162.22,270.096283,68.758364,-82.04,42.033159,34379.182156
125,KCLE20060125_130531,20,0.132,379.65,356.150000,12.250000,-81.53,41.053979,6125.000000
127,KCLE20060126_122201,-22,0.390,286.80,364.300000,12.400000,-81.48,41.471843,6200.000000
127,KCLE20060126_122751,-17,0.394,289.38,368.530676,23.541304,-81.45,41.460125,11770.652174
127,KCLE20060126_123341,-11,-0.053,284.18,368.072151,27.954064,-81.45,41.483550,13977.032189
128,KCLE20060126_122751,-17,-0.268,291.70,371.300000,9.500000,-81.43,41.449636,4750.000000
128,KCLE20060126_123341,-11,-0.435,291.42,368.247977,21.156647,-81.45,41.450951,10578.323699
129,KCLE20060126_123341,-11,-0.078,401.15,323.300000,64.500000,-81.72,40.957582,32250.000000
129,KCLE20060126_123931,-5,-0.091,402.48,324.261634,71.213614,-81.72,40.951607,35606.806931
129,KCLE20060126_124520,1,0.000,403.61,325.085891,79.282426,-81.71,40.946485,39641.212871
129,KCLE20060126_125110,7,-0.233,409.85,320.235487,72.762489,-81.74,40.918439,36381.244456
129,KCLE20060126_125701,13,-0.242,416.28,320.291548,71.855392,-81.74,40.889503,35927.696141
129,KCLE20060126_130252,18,-0.239,422.21,324.623676,67.633149,-81.71,40.862745,33816.574334
129,KCLE20060126_130841,24,-0.382,432.55,329.231280,64.072001,-81.69,40.816170,32036.000320
129,KCLE20060126_131431,30,-0.392,429.98,322.818002,62.401941,-81.72,40.827774,31200.970286
129,KCLE20060126_133751,53,0.000,434.03,310.646396,53.772380,-81.80,40.809596,26886.189756
129,KCLE20060126_134341,59,0.000,435.09,307.471194,51.521190,-81.82,40.804847,25760.594836
129,KCLE20060126_134930,65,0.000,436.15,304.295993,49.270000,-81.83,40.800094,24634.999915
129,KCLE20060126_135520,71,-0.407,428.55,300.603202,64.293133,-81.86,40.834284,32146.566498
130,KCLE20060127_122018,-23,0.304,283.95,364.900000,12.200000,-81.47,41.484661,6100.000000
130,KCLE20060127_122609,-17,0.288,282.13,365.979787,22.628723,-81.46,41.492852,11314.361702
130,KCLE20060127_123158,-12,0.226,288.09,365.232696,25.844357,-81.47,41.466031,12922.178451
130,KCLE20060127_124336,0,-0.176,294.70,358.109051,28.074935,-81.51,41.436397,14037.467492
130,KCLE20060127_141444,91,-0.174,276.79,384.846502,34.229486,-81.35,41.516428,17114.742881
132,KCLE20060128_121511,-27,0.441,91.65,499.950000,33.550000,-80.65,42.344631,16775.000000
133,KCLE20060128_122102,-21,0.536,283.35,367.100000,22.400000,-81.46,41.487317,11200.000000
